function	group	owner	signature	note
PsiMVResample	distribution	BusinessMath	data	LANDED 2.14.x — MultivariateResample. Whole rows with replacement, so the joint distribution survives; drawing columns independently would keep the margins and destroy the dependence
PsiMVShuffle	distribution	BusinessMath	data	LANDED 2.14.x — MultivariateShuffle. Whole rows without replacement; stands to MultivariateResample as Shuffle does to sampling with replacement
PsiMakeInput	distribution	BusinessMath	freq, expr, deduct, limit	LANDED 2.14.x — CompoundLossModel. Deductible and limit apply per occurrence, before the sum, which is the distinction that decides the answer
PsiMaxExtremeAlt	percentile parameterisation	BusinessMath	2 parameters, chosen from: 2 different percentiles, mean, var, mode, scale	LANDED 2.14.x — DistributionMaxExtreme: PercentileParameterisable
PsiMetalog2	distribution	BusinessMath	coefficients	LANDED 2.14.x — DistributionMetalog. Feasibility was always enforced by init and is now also queryable without building, via describesADistribution(coefficients:boundedness:). Shape reporting added: modes() and antiModes() from an analytic quantile derivative chained through the boundedness transform, bracketed on a grid and refined by golden section. Identical to PsiMetalog for n <= 6, as upstream says
PsiMetalog2Fit	distribution	BusinessMath	num_coef, x_values, y_values	LANDED 2.14.x — DistributionMetalog.init(fittingProbabilities:values:terms:boundedness:) already is this: terms = num_coef, values = x_values, fittingProbabilities = y_values, least squares when terms < pairs, and feasibility enforced. Only gap vs upstream is the optional y_values default, whose plotting-position convention the page does not state
PsiMetalogSPT	distribution	BusinessMath	min, max, quantiles, prob, prop_fcns	LANDED 2.14.x — DistributionMetalog(symmetricPercentileTriplet:at:boundedness:); prop_fcns decoding left to the binding boundary
PsiMinExtremeAlt	percentile parameterisation	BusinessMath	2 parameters, chosen from: 2 different percentiles, mean, var, mode, scale	LANDED 2.14.x — DistributionMinExtreme: PercentileParameterisable
PsiNormalAlt	percentile parameterisation	BusinessMath	2 parameters: 2 different percentiles, or percentile and mean, or percentile and stdev	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiNormalSkew	distribution	BusinessMath	a (lower bound), b (upper bound), c (skew)	LANDED 2.14.x — DistributionMyerson.normalSkew(lowerBound:upperBound:skew:). Frontline's page settles it: a and b are the -3 and +3 sigma points and the tail is pinned at 2*Phi(-3), so it is a Myerson with fixed coverage. At skew 0 it is exactly Normal((a+b)/2, (b-a)/6), which is an exact oracle. The c-to-shape map is not stated upstream; median placed linearly, which is the only reading that explains the open interval (-1,1)
PsiPareto2	distribution	BusinessMath	b, q	LANDED 2.14.x — DistributionPareto2
PsiPareto2Alt	percentile parameterisation	BusinessMath	2 parameters, chosen from: 2 different percentiles, scale, shape	LANDED 2.14.x — DistributionPareto2: PercentileParameterisable
PsiParetoAlt	percentile parameterisation	BusinessMath	2 parameters, chosen from: 2 different percentiles, shape, scale	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiPearson5Alt	percentile parameterisation	BusinessMath	2 parameters, chosen from: 2 different percentiles, shape, scale	LANDED 2.14.x — DistributionPearson5: PercentileParameterisable
PsiPearson6Alt	percentile parameterisation	BusinessMath	2 parameters, chosen from: 2 different percentiles, shape, scale	LANDED 2.14.x — DistributionPearson6: PercentileParameterisable
PsiPert	distribution	BusinessMath	a (min), c (likely), b (max)	LANDED 2.14.x — DistributionPert
PsiPertAlt	percentile parameterisation	BusinessMath	3 parameters, chosen from: 3 different percentiles, mean, var, min, likely, max	LANDED 2.14.x — DistributionPert: PercentileParameterisable
PsiRayleighAlt	percentile parameterisation	BusinessMath	1 parameter, chosen from: percentile, var, mean	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiSip	not mathematics	BusinessMathExcel / SwiftExcelFunctions	sip	EXCLUDED — names a stored SIP; resolution is a host concern, not mathematics
PsiSlurp	not mathematics	BusinessMathExcel / SwiftExcelFunctions	slurp, j	EXCLUDED — names a stored SIP library; resolution is a host concern, not mathematics
PsiStudentAlt	percentile parameterisation	BusinessMath	1 percentile parameter	LANDED 2.14.x — DistributionStudentT, a new type with continuous df, plus PercentileParameterisable. tCDF/studentTPDF already existed for hypothesis tests but take an Int and offer no inverse; a distribution needs the quantile and needs to be samplable. Moments return nil below nu = 1, 2 and 4 rather than a plausible finite number
PsiTSSip	not mathematics	BusinessMathExcel / SwiftExcelFunctions	tssip	EXCLUDED — names a stored time-series SIP; resolution is a host concern, not mathematics
PsiTriangGen	distribution	BusinessMath	ap, m, br, p, r	LANDED 2.14.x — DistributionTriangular.generalised(lowerPercentile:mode:upperPercentile:). Two percentiles and the mode, solved for the bounds; the earlier 'no mathematics upstream' note predates DistributionTriangular conforming to PercentileParameterisable
PsiTriangularAlt	percentile parameterisation	BusinessMath	3 parameters combining native args (min, likely, max) with percentiles, e.g. (min, percentile1, percentile2) or (percentile1, likely, percentile2)	LANDED 2.14.x — DistributionTriangular: PercentileParameterisable
PsiUniformAlt	percentile parameterisation	BusinessMath	2 parameters combining native args (lower, upper) with percentiles, e.g. (lower, percentile1) or (percentile1, upper) or (percentile1, percentile2)	LANDED 2.14.x — DistributionUniform: PercentileParameterisable
PsiVary	not mathematics	BusinessMathExcel / SwiftExcelFunctions	base, min, max, [range_type], [dist_name]	EXCLUDED — declares a sensitivity-analysis role for a cell; a solver-host directive, not mathematics
PsiWeibullAlt	percentile parameterisation	BusinessMath	1 percentile parameter	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
