"In credit risk modeling, what does a Credit Default Swap (CDS) contract provide to the protection buyer?",It provides insurance against a default event by the reference entity.
"The _____ structural model views a company's equity as a call option on its assets, with the strike price equal to its debt.",Merton
"In credit modeling, what is the process of building a complete term structure of default probabilities from market CDS quotes called?",Bootstrapping a credit curve.
The Black-Scholes model is used for pricing what type of options?,"European options, which can only be exercised at expiration."
"In real options analysis, the opportunity to expand a project can be valued as a _____ option.",call
The value of being able to exit or shut down a project if it becomes unprofitable is modeled as a _____ option in real options analysis.,put
What is the main advantage of Monte Carlo simulation over a traditional single-point forecast?,"It provides a range of possible outcomes with associated probabilities, rather than a single, deterministic result."
"In a Monte Carlo simulation of revenue growth, why does the uncertainty (width of the confidence interval) typically widen over time?","Because the uncertainty from each period compounds on the previous periods, leading to a greater range of possible outcomes further in the future."
What are the three typical scenarios modeled in business scenario analysis?,"Base Case (most likely), Best Case (optimistic), and Worst Case (conservative)."
"What is the primary purpose of root-finding, or goal-seeking, in financial analysis?","To find the input value that causes a function to equal a specific target output, such as finding the breakeven price."
The goal-seeking API in BusinessMath uses the _____ method for its calculations.,Newton-Raphson
What is the purpose of the `VectorSpace` protocol in BusinessMath's optimization framework?,"It provides a generic interface for vector operations, allowing optimization algorithms to work with vectors of any dimension (2D, 3D, N-dimensional)."
"For multivariate optimization, when should you use a fixed-dimension vector like `Vector2D` instead of the flexible `VectorN`?","When the problem's dimension is known at compile-time, as it offers better performance with no array overhead."
"In constrained optimization, an equality constraint is of the form _____, while an inequality constraint is of the form _____.",$h(x) = 0$; $g(x) \le 0$
What is the key difference between Gradient Descent and Newton-Raphson optimization methods?,"Gradient Descent uses only first-order derivative (gradient) information, while Newton-Raphson uses second-order (Hessian/curvature) information for faster convergence."
The BFGS method is a quasi-Newton optimization algorithm that offers a key advantage over the full Newton method. What is it?,"It approximates the Hessian matrix using only gradient information, avoiding the expensive computation of the exact Hessian."
What is the objective of a Minimum Variance Portfolio in Modern Portfolio Theory?,To find the combination of assets that has the lowest possible risk (volatility).
The _____ is a curve that represents all optimal portfolios that offer the highest expected return for a given level of risk.,Efficient Frontier
How does a Risk Parity portfolio allocation strategy differ from a mean-variance optimization strategy?,"Risk Parity allocates capital so each asset contributes equally to total portfolio risk, whereas mean-variance optimization seeks to maximize the risk-adjusted return."
"In constrained optimization, what information does a Lagrange multiplier (or shadow price) provide?",It indicates how much the objective function would improve if the corresponding constraint were relaxed by a small amount.
The _____ optimizer in BusinessMath handles problems with constraints like `w >= 0` (non-negativity) or `production <= capacity` (capacity limits).,InequalityOptimizer
What is the primary function of the Adaptive Optimizer in BusinessMath?,"It automatically analyzes a problem's characteristics (size, constraints) and selects the most appropriate optimization algorithm."
"According to the Adaptive Optimizer's rules, which algorithm is typically selected for large-scale problems with more than 100 variables?","Gradient Descent, due to its memory efficiency and scalability."
What is the main advantage of Parallel Multi-Start Optimization?,It increases the probability of finding the global optimum by running multiple optimization attempts from different starting points simultaneously.
In what type of optimization problem is Parallel Multi-Start particularly useful?,Non-convex problems with multiple local minima.
"The _____ tool in BusinessMath is used to measure, compare, and analyze the performance of different optimizers in a systematic, evidence-based way.",PerformanceBenchmark
What is the primary benefit of using a sparse matrix (like in CSR format) instead of a dense matrix for large-scale problems?,It saves significant memory and computational time by storing and operating only on non-zero elements.
The Conjugate Gradient (CG) sparse solver is designed for what specific type of matrices?,Symmetric positive definite (SPD) matrices.
What capability does Multi-Period Optimization add to the BusinessMath framework?,"It enables dynamic optimization across multiple time periods, considering factors like transaction costs, turnover limits, and the time value of money."
"A _____ constraint in multi-period optimization links consecutive time periods, such as an inventory balance equation.",inter-temporal
What is the core objective of Robust Optimization?,To find a solution that performs acceptably even under the worst-case realization of uncertain parameters within a defined set.
An _____ uncertainty set is based on a statistical covariance matrix and is generally less conservative than a box uncertainty set for correlated parameters.,ellipsoidal
What is meant by the 'Price of Robustness' in robust optimization?,It is the amount of expected performance (at nominal parameters) that is sacrificed in order to gain improved worst-case protection.
